Box no.	Date of Collection	Nest_ID	No. of pieces	No. of chambers	No. of chambers1	No. of chambers2	No. of chambers3	No. of chambers4	No. of chambers5	No. of chambers6	No. of chambers7	Damage grade	"Further remarks, notes on the sample"	
"3, big Green tray"	06-06-2024	R17	1	4								2	"CT scanned for volume of chamber in GKVK, GKVK nest, 4 cells, blue cap box, Previously unlabelled"	
"3, big Green tray"	10-12-2023	R18	1	1								2	"PW nest, mam garden on bouganvilla, abandoned nest, pot shape, blue cap box, Previously unlabelled"	
"3, big Green tray"	Unknown	62	1	4								3	"Kept in lab, blue cap box"	
"3, big Green tray"	13-03-2024	R19	3	1								2	"Nest on cycle spoke, Phimenes, Kengeri, red cap box, Previously unlabelled"	
"3, big Green tray"	15-02-2024	R20	1	5								3	"organic chem, blue cap box, Previously unlabelled"	
"4, plastic box"	Nests used for temperature experiments													
"4, plastic box"	07-12-2023	R21	1	7								1	"PW nest, by yuvi att. to towel, 1 cell stilll closed, maybe 7 cells, blue cap box, Previously unlabelled"	
"4, plastic box"	27-05-2023	R22	1	2								1	"Agumbe, nest got wet (21/5/24), blue cap box, Previously unlabelled"	
"4, plastic box"	18-10-2023	N-2	1	1								0	"3 chambers seem blocked, S block, nest got wet (21/5/24)"	
"5, small green tray"	28-08-2023	R23	1	1								4	"Single chamber piece, Calicut, Arjun sir home, on asparagus fern, blue cap box, Previously unlabelled"	
"5, small green tray"	27-05-2023	R24	1	3								3	"PW nest, from floor of civil (tejas lab), blue cap box, Previously unlabelled"	
"5, small green tray"	-	R25	1	2								4	"No date of collection, BaSO4 labelled, RRI PW nest,  blue cap box, Previously unlabelled"	
"5, small green tray"	-	R26	2	1								4	"No date of collection, Wasp sp. unknown, Muthuraya temple 2nd visit, blue cap box, Previously unlabelled"	
"5, small green tray"	27-02-2023	R27	1	3								2	"Nest from Vayu Vihar, aero engg. IISc, blue cap box, Previously unlabelled"	
"5, small green tray"	-	R28	1	1								4	"Single chamber, no labels present, blue cap box, Previously unlabelled"	
"5, small green tray"	10-03-2023	N11	1	3								3	"Swim pool, blue cap box"	
"5, small green tray"	23-06-2023	N-9	1	1								0	"(on leaf), Mud dauber + fruit (RRI), blue cap box"	
"5, small green tray"	22-07-2023	R29	Multiple	-								4	"Nest used for BaSO4 exp on 2/9/23, collect from biosci building, Previously unlabelled"	
"6, pink cap plastic box"	Labelled as 'unnamed nest'													
"6, pink cap plastic box"	-	R30	1	1								4	"no details or date of collection, multiple fragments, blue cap box, Previously unlabelled"	
"6, pink cap plastic box"	-	N-2	1	5								3	"no date of collection, blue cap box"	
"6, pink cap plastic box"	-	N-3	1	6								3	"no date of collection, blue cap box"	
"6, pink cap plastic box"	-	Nest-4	multiple	-								4	"no date of collection, blue cap box"	
"6, pink cap plastic box"	30-10-2024	Nest 7b	4	2	2	5	4	-				3	"GKVK botanical garden, ziplock cover, fragmented branch"	
"6, pink cap plastic box"	30-11-2024	Nest 1a	2	2				4				3	"GKVK botanical garden, 18.5cm, ziplock cover, fragmented branch"	
"6, pink cap plastic box"	30-10-2024	Nest 3b(i)	2	6				3				3	"GKVK botanical garden, 18.9cm, ziplock cover, fragmented branch"	
"6, pink cap plastic box"	30-10-2024	Nest 2a	1	cannot assess								0	"GKVK botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 7b(ii)	1									0	"male, female, ichnecomonidae, coleoptera, GKVK botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 3a(i)	1									0	"GKVK Apiany, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 1b	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 4b	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 3b(ii)	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 7b	1									0	"GKVK Apiany, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 4b(ii)	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 2a(ii)	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"6, pink cap plastic box"	30-10-2024	Nest 3b(iii)	1									0	"GKVK Botanical garden, ziplock cover, intact branch"	
"7, blue cap plastic box"	Labelled as '2/1/25 Delta Pyriform 434 mg													
"7, blue cap plastic box"	02-06-2025	Nest 20	1	2								3	"IASc Main gate, ziplock cover"	
"7, blue cap plastic box"	02-06-2025	Nest 21	1	5								3	"IASc Main gate, ziplock cover"	
"7, blue cap plastic box"	17-06-2025	Nest 8	1	16								2	"labelled as Mud Dauber nest, GKVK"	
"7, blue cap plastic box"	29-05-2025	Nest 4	1	7								3	"Inside bike gear in chem sc parking, ziplock cover"	
"7, blue cap plastic box"	02-01-2025	N-5	2	7				7				3	"GKVK dry land, ATM(2/1) no: 3"	
"7, blue cap plastic box"	02-06-2025	Nest 19	4	6		13		5		6		3	"Iasc Main gate, ziplock cover"	
"7, blue cap plastic box"	28-01-2025	N-27	2	13				4				3	"Nest 7 & 10 (dimension), GKVK Dry land, ziplock cover"	
"7, blue cap plastic box"	17-06-2025	Nest 9	Multiple	-								4	"GKVK, ziplock cover"	
"7, blue cap plastic box"	17-06-2025	Nest 1	1	3								3	"GKVK, ziplock cover"	
"7, blue cap plastic box"	30-05-2025	Nest 6	1	9								1	"IASc, ziplock cover"	
"7, blue cap plastic box"	08-06-2025	Nest 8	1	14								1	"Col: MB Prashanth, ""Jayanager B'lore"""	
"7, blue cap plastic box"	17-06-2025	Nest 7	1	15								2	"GKVK, dead wasp"	
"7, blue cap plastic box"	17-06-2025	Nest 5	1	1								3	"GKVK, ziplock cover"	
"7, blue cap plastic box"	09-06-2025	Nest 4	2	3				2				3	"Library parking lot, IISc, blue cap box"	
"7, blue cap plastic box"	17-06-2025	Nest 4	-	-								4	"GKVK campus, blue cap box"	
"7, blue cap plastic box"	30-05-2025	Nest 11	-									4	"labelled as Mud Dauber nest, IASc, AISHANI BHATTACHARYA, blue cap box"	
"7, blue cap plastic box"	17-06-2025	Nest 3	-									4	"GKVK, blue cap box"	
"8, pink cap plastic box"	"Labelled ""Measurable Nests Aishani Bhattacharya"""													
"8, pink cap plastic box"	02-06-2025	Nest 25	1	7								2	"House window, blue cap box"	
"8, pink cap plastic box"	17-06-2025	Nest 2	1	5								2	"GKVK, blue cap box"	
"8, pink cap plastic box"	17-06-2025	Nest 5	4	1								4	"M.D. Test, red cap box"	
"8, pink cap plastic box"	17-06-2025	Nest 3	4	1								4	"M.D. Test, red cap box"	
"8, pink cap plastic box"	17-06-2026	Nest 4	1	8								2	"M.D. Test, red cap box"	
"8, pink cap plastic box"	20-05-2025	Nest 11	1	7								1	"M.D. Test, red cap box"	
"8, pink cap plastic box"	-	BOX 1	1	-								4	"single fragment, blue cap box"	
"8, pink cap plastic box"	09-06-2025	Nest 6	1	2								3	"Library parking lot, IISc, blue cap box"	
"8, pink cap plastic box"	09-06-2025	Nest 3	2	4				2				3	"Civil IIsc, blue cap box"	
"8, pink cap plastic box"	06-06-2025	Nest 2	2	3				2				3	Soil mechanic (civil engg) blue cap box	
"8, pink cap plastic box"	06-06-2025	Nest 1	2	3								3	"Civil dept iisc, blue cap box"	
"8, pink cap plastic box"	09-06-2025	Nest 5	1	5								3	"Library parking lot, IISc, blue cap box"	
"8, pink cap plastic box"	17-06-2025	Nest 6	3	5		3		2				3	"GKVK, blue cap box"	
"8, pink cap plastic box"	30-05-2025	Nest 9	1	8								2	"IASc, blue cap box"	
"8, pink cap plastic box"	30-05-2025	Nest 10	1	5								3	"IASc, blue cap box"	
"8, pink cap plastic box"	09-06-2025	Nest 7	1	12								2	"Library parking lot, ziplock cover"	
"8, pink cap plastic box"	30-05-2025	Nest 7	4	1								4	"IASc, ziplock cover"	
"8, pink cap plastic box"	02-06-2025	Nest 15	2	3								3	"Iasc Main gate, ziplock cover"	
"8, pink cap plastic box"	30-05-2025	Nest 13	1	7								2	"Wasp emerged, ziplock cover"	
"8, pink cap plastic box"	02-06-2025	Nest 17	1	3								3	"Ladder, ziplock cover"	
"8, pink cap plastic box"	02-06-2025	Nest 14	1	7								3	"Spider, IASc main gate, ziplock cover"	
"8, pink cap plastic box"	02-06-2025	Nest 26	1	2								3	"IASc, ziplock cover"	
"8, pink cap plastic box"	19-06-2025	Nest 3	2	3				1				3	"NOB, ziplock cover"	
"8, pink cap plastic box"	30-05-2025	Nest 8	2	2				1				3	"IASc, ziplock cover"	
"8, pink cap plastic box"	02-06-2025	Nest 18	1	7								3	"L2, ziplock cover"	
"9, blue cap plastic box (perforated)"	"Labelled as ""Nests/Summer Intern, Aishani Bhattacharya"""													
"9, blue cap plastic box (perforated)"	-	BOX 2	1	3								3	"No date of collection, blue cap box"	
"9, blue cap plastic box (perforated)"	-	BOX 0	1	1								3	"No date of collection, blue cap box"	
"9, blue cap plastic box (perforated)"	30-05-2025	Nest 12	1	4								2	"IASc, blue cap box"	
"9, blue cap plastic box (perforated)"	19-06-2025	Nest 1	3	1								4	"NBCS, blue cap box"	
"9, blue cap plastic box (perforated)"	29-05-2025	Nest 3	1	2								3	"Pool H2O filtration, ziplock cover"	
"9, blue cap plastic box (perforated)"	02-06-2025	Nest 23	1	3								2	"no location, ziplock cover"	
"9, blue cap plastic box (perforated)"	29-05-2025	Nest 2	5	5								3	"Pool H2O filtration, ziplock cover"	
"9, blue cap plastic box (perforated)"	02-06-2025	Nest 16	1	5								3	"IASc, main gate, ziplock cover"	
"9, blue cap plastic box (perforated)"	19-06-2025	Nest 2	1	3								3	"NCBS, ziplock cover"	
"9, blue cap plastic box (perforated)"	-	R30	1	1								4	"No location or date of collection, ziplock cover, Previously unlabelled"	
"9, blue cap plastic box (perforated)"	02-06-2025	Nest 24	5	3								4	"IASc, ziplock cover"	
"9, blue cap plastic box (perforated)"	02-06-2025	Nest 22	4	7								3	"IASc main gate, ziplock cover"	
"9, blue cap plastic box (perforated)"	30-05-2025	Nest 5	3	1								4	"IASc library, ziplock cover"	
"9, blue cap plastic box (perforated)"	29-05-2025	Nest 1	5	4								4	"Swimming pool, ziplock cover"	
"10, Cold room box 1"	"Labelled as ""Potter wasp nest 2023"""													
"10, Cold room box 1"	16-02-2023	Sample 1	1	6								2	"CT Scan sample 1, coll. from Organic chem building (13.0645, 77.56803), 2 wasps noticed on 23/3/23, preserved in alc. zipllock cover"	
"10, Cold room box 1"	11-11-2024	Nest 1	Multiple 	-								4	"Civil engg dept, IISc, ziplock cover"	
"10, Cold room box 1"	23-06-2023	R31	Multiple 	-								4	"PW nest, no location, ziplock cover, Previously unlabelled"	
"10, Cold room box 1"	06-11-2023	N-1	Multiple 	-								4	"Covere with debris, schemes section, Phimenes nest, Geppnssage, ziplock cover"	
"10, Cold room box 1"	05-12-2023	N-1	Multiple 	-								4	"Bio sc building 1st floor, (biochem), Nest with 7 pots, 1st two at base with exist holes, elongated + pots, ziplock cover"	
"10, Cold room box 1"	05-04-2023	N2	Multiple 	-								4	"Electrical engg, wooden window, ziplock cover"	
"10, Cold room box 1"	05-04-2023	N1	Multiple 	-								4	"PE Block Mechanical, ziplock cover"	
"10, Cold room box 1"	28-05-2024	R32	1	6								2	"Found on ground, ramalinga swamy temple, ziplock cover, Previously unlabelled"	
"10, Cold room box 1"	29-08-2024	Nest-1	1	7								0	"Arjun sir home, calicut,exposed nest"	
"10, Cold room box 1"	23-06-2023	R33	3	1								3	"RRI, potter wasp (expts), blue cap box, Previously unlabelled"	
"10, Cold room box 1"	05-08-2024	N3	2	2				2				3	"Wood science, blue cap box"	
"10, Cold room box 1"	05-12-2023	N-2 (PW)	1	1								4	"1 cell with 1 exit hole, blue cap box"	
"10, Cold room box 1"	19-09-2024	Nest-2	2	1				2				3	"BSNC office, beetle in nest, blue cap box"	
"10, Cold room box 1"	05-08-2024	N4	1	2								3	"Wood science, 2 species observed in blue cap box"	
"10, Cold room box 1"	26-06-2024	N-12	1	1								3	"Nandi temple, blue cap box"	
"10, Cold room box 1"	05-08-2024	N-13	1	4								0	"Wood science, with wasp, blue cap box"	
"10, Cold room box 1"	07-03-2023	N1	1	2								3	"Mech engg building, SEM sample (20/6/23, Dauber nest, blue cap box"	Mar 2023 - 1
"10, Cold room box 1"	30-03-2023	N1	4	1								4	"Boys toilet CES, blue cap box"	
"10, Cold room box 1"	17-03-2023	N2	2	1								3	"Org chem, blue cap box, sample taken and used to conduct wetting exp on 3.9.25"	
"10, Cold room box 1"	21-03-2023	N-2	Multiple	-								4	"Org chem, nest from where 36 caterpillars collected, 9 pots, blue cap box"	
"10, Cold room box 1"	16-03-2023	N3	3	1								4	"B. Hostel roof, blue cap box"	Mar 2023 - 2
"10, Cold room box 1"	08-03-2023	N6	3	1								4	"Mech engg, blue cap box"	
"10, Cold room box 1"	28-03-2023	N9	1	1								4	"Boys hostel, blue cap box"	
"10, Cold room box 1"	28-03-2023	N12	Multiple	-								4	"Boys hostel, blue cap box, sample taken and used to conduct wetting exp on 3.9.25"	
"10, Cold room box 1"	22-03-2023	N1	1	1								4	"Wasp larva, Mech engg, blue cap box"	Mar 2023 - 3
"10, Cold room box 1"	10-03-2023	N-5	Multiple	-								4	"Swimming pool, blue cap box"	
"10, Cold room box 1"	10-03-2023	N-12	2	1								4	"Swimming pool, blue cap box"	
"10, Cold room box 1"	17-03-2023	N-1	Multiple	-								4	"OC building, blue cap box"	
"10, Cold room box 1"	28-03-2023	N6	1	1								4	"Boys hostel, blue cap box"	
"10, Cold room box 1"	10-03-2023	N-16	1	3								3	"Pool wall, blue cap box"	
"10, Cold room box 1"	06-03-2023	R35	Multiple	-								4	"Swimming pool desk, blue cap box, Previously unlabelled"	
"10, Cold room box 1"	23-04-2024	R36	Multiple	-								3	"Nest of Conoideum, CES window grill observed by Ankita not measured), blue cap box, Previously unlabelled"	Apr-23
"10, Cold room box 1"	24-04-2023	N-18	1	2								3	"Muthuraya Temple, blue cap box"	
"10, Cold room box 1"	24-04-2023	N14	1	1								3	"Muthuraya Temple, blue cap box"	
"10, Cold room box 1"	20-04-2023	N-1	1	1								3	"RRI near concrete on garden, blue cap box"	
"10, Cold room box 1"	18-05-2023	N1	5	1								4	"Biological sciences, blue cap box"	May-23
"10, Cold room box 1"	28-05-2024	R37	4	1		-		-		-		0	"Baradi swallow nest, bits of nest of swallow, blue cap box, Previously unlabelled"	
"10, Cold room box 1"	26-06-2024	Nest-8	3	2		1		2				3	"Bhaganandish warat, blue cap box"	Jun-23
"10, Cold room box 1"	26-06-2024	N-9	Multiple	-								3	"Nandi temple, blue cap box"	
"10, Cold room box 1"	06-06-2023	R38	1	1								2	"Phimenes nest, Bio sci, blue cap box, Previously unlabelled"	
"10, Cold room box 1"	05-08-2024	N1	1	5								1	"Wood science, blue cap box"	Aug-23
"10, Cold room box 1"	28-08-2023	R34	1	1								0	"Calicut, arjun sir house, on asparagus fern, nest in pairs, Eumenes(?), blue cap box, Previously unlabelled"	
"10, Cold room box 1"	04-10-2023	N-3	2	01-02-2024								4	"R block, blue cap box"	Oct-23
"10, Cold room box 1"	04-10-2023	N-7	Multiple 	1								3	"S block, blue cap box"	
